Stream,Depth
Metadata Attribute,Value
Frame Counter,4512
Frame Timestamp,1828853232
Sensor Timestamp,1828851866
Actual Exposure,2733
Gain Level,16
Auto Exposure,1
Time Of Arrival,1625822842239
Backend Timestamp,1625822842232
Actual Fps,30
Frame Laser Power,360
Frame Laser Power Mode,1
Exposure Priority,1
Exposure Roi Left,80
Exposure Roi Right,560
Exposure Roi Top,60
Exposure Roi Bottom,420
Frame Emitter Mode,1
Raw Frame Size,614400
Gpio Input Data,0
Sequence Name,0
Sequence Id,0
Sequence Size,0
