Stream,Depth
Metadata Attribute,Value
Frame Counter,6887
Frame Timestamp,2071983054
Sensor Timestamp,2071981754
Actual Exposure,2600
Gain Level,16
Auto Exposure,1
Time Of Arrival,1625823154291
Backend Timestamp,1625823154284
Actual Fps,30
Frame Laser Power,360
Frame Laser Power Mode,1
Exposure Priority,1
Exposure Roi Left,80
Exposure Roi Right,560
Exposure Roi Top,60
Exposure Roi Bottom,420
Frame Emitter Mode,1
Raw Frame Size,614400
Gpio Input Data,0
Sequence Name,0
Sequence Id,0
Sequence Size,0
